Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,70.29842377,,,,,,,,,76.90297699,80.90000153,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,79.99176788,,,,,,,,,86.72367096,,,,,,90.74346924,90.69811249,91.16783142,,92.22615051,94.46057129,,,92.45507813,,,,,93.85256195,
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,86.36788177,,,,88.61624146,,89.61522675,90.0093689,90.03662109,90.29821014,90.37918091,91.41123962,91.33785248,91.48423767,91.72943115,92.04789734,92.80844116,93.07582092,93.22750092,,,94.30000305
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,99.59999847,,,,,,,,,,99.59999847,,,,,,,,,,99.59999847,,,,,,,
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,87.80417633,,,,,,,,,,92.67112732,,,,,,,,,,96.08556366,,,,,,,97.21411133,,,97.58999634
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,52.81468964,,,,,,,55.31755829,,,,,66.5611496,,,,70.94999695
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,68.58090973,,,,,,,,,,,,81.18871307,,,,,,,,,,86.82318115,,,,,,,,
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,50.6451683,,,,,,,,,,36.75260925,,,,,,,,37.39582062,,37.49000168,
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,98.01409912,98.07627106,98.15402985,98.21993256,98.29029083,98.36125183,98.4260788,98.47904205,98.61682892,98.56674194,98.6265564,98.67108917,98.71949768,98.74887085,98.78723145,98.82566833,98.8245163,98.85414886,98.90093231,99.13604736,99.17223358,99.20523834,99.22561646,99.23651123,99.25499725,99.27243805,99.29685211,99.31336975,99.32743073,99.34319305,99.35739899,
Switzerland,CHE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,94.2911377,,,,,,,,,,95.7166214,,,,,,97.72245026,97.66423035,,96.70301056,,96.26705933,,96.87413025,,96.40228271,,,,97.04000092
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,77.78505707,,,,,,,,,,90.92021179,,,,,,,,,,95.1244812,,,,,,,,96.84088898,,97.15000153,
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,36.3502388,,48.7407608,,,,,,,,,,,,40.98162842,,43.90842056,,,,,89.89341736,,
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,68.4091568,,,,,,,70.67993927,,,71.29051208,,,,,,,,77.07103729,,78.23000336,
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,67.17298889,,,,,,61.20555115,,,,,75.01718903,,,,77.04267883,,,,,80.01999664
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,76.11479187,,,,,,79.31117249,,,,,,,80.29875946,,,80.61000061
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,91.06308746,,,91.20716095,,,,,,,,92.8037796,92.84866333,92.29968262,92.6517868,93.37818146,93.24468994,93.37232971,93.58052826,,,94.18624878,94.24504852,94.65384674,,95.09250641,95.24926758,95.63632965,
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,68.48922729,,,,,,,,,,,,49.19614029,,,,,,58.81702042,,,61.99000168
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,62.79685974,,,,,,,,,,76.11044312,,,,,,,,,,,,85.32778931,,,86.79029083,,,,,,90.77999878
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,94.86818695,,,,,,,,,,,97.40657806,,,,,,,97.86379242,,,98.04000092
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,86.28206635,86.32589722,86.59898376,86.84752655,87.09664154,87.4030838,87.14614868,88.05062866,88.41893005,88.6944809,88.95674133,89.2070694,89.50833893,89.68746185,90.27494049,90.52310181,90.73297882,90.80419922,90.85920715,90.73217773,90.65540314,90.66783905,90.78756714,,,,,,
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,99.79907227,,,,,,,,,,99.75253296,,,,,,,,,99.67311096
Curacao,CUW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,98.86782074,,,,,,,,,,98.86782074,,,,98.86782074
Cyprus,CYP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,94.36247253,,,,,,,,,96.80362701,,,,,,,,,,98.67842865,,,,,,,,,,99.36000061
Czechia,CZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,86.99646759,,,,,88.24446106,,,89.53872681,90.10637665,90.15518188,90.85814667,91.76376343,91.99121094,93.77845764,,,,,95.16999817
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,69.87349701,,,,72.64868164,,75.13604736,,,,,,,,,,81.40783691,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,79.78762817,81.12937927,81.69500732,82.21546173,82.8107605,83.39981079,83.91934967,89.55477142,89.91605377,90.23776245,90.53939819,90.98306274,91.3553772,91.72071838,92.0345993,92.39704895,92.74712372,93.89996338,94.13134003,94.44586945,94.53077698,94.37229156,94.58950043,94.68592834,95.0980072,95.30786896,95.46404266,95.64930725,95.70745087,96.11556244,96.268013,
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,58.65724182,59.13792038,60.16292953,60.94894028,61.74464035,62.53602982,63.26916122,63.92752075,66.95204163,67.56272125,68.23738861,68.66362762,69.35585785,70.38526154,71.15786743,70.9506073,71.13803864,72.0298996,73.25747681,74.09941864,75.24230194,75.24359894,75.87638092,76.37799835,77.19602203,77.91124725,78.53462219,78.95726776,79.14875031,79.96681976,80.36566162,
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,80.41291809,81.63424683,82.16195679,82.64431,83.21566772,83.77902222,84.27198792,89.32084656,89.66532898,90.00657654,90.2911911,90.7085495,91.08538055,91.46929169,91.79637146,92.17146301,92.51869202,93.5821991,93.84104156,94.15556335,94.17209625,93.97158813,94.20420837,94.30593872,94.79815674,95.01451874,95.17617035,95.36701202,95.43128967,95.86206055,96.01457977,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,95.51210785,95.54319,95.66255188,95.78305817,95.90112305,96.02188873,96.2056427,96.31778717,96.65229034,96.74859619,96.86665344,96.94550323,97.03177643,97.10124969,97.27877045,97.49330902,97.45245361,97.54872131,97.55384827,98.05924225,98.37638092,98.6343689,98.76773071,98.81713104,98.84879303,98.87792206,99.00218964,99.00428009,99.04042053,99.11755371,99.14138031,
Europe & Central Asia,ECS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,95.32012177,95.4821701,95.62532043,95.76831818,95.93377686,96.06181335,96.21617126,96.33312988,96.39608002,96.49008942,96.67601776,96.76985931,96.90087128,97.06186676,97.05441284,97.12386322,97.15885162,97.40518188,97.56700897,97.70388031,97.80539703,97.87165833,97.91472626,97.95932007,98.04750061,98.09268951,98.14884186,98.20648193,98.25228882,
Ecuador,ECU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,88.29875946,,,,,,,,,,,90.98403168,,,,,,92.0967865,92.3900528,92.24976349,91.85404205,91.5868988,92.06472778,93.29463196,94.22264099,94.45565796,94.35022736,92.82978821,,,93.62609863,94.48358917
"Egypt, Arab Rep.",EGY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,55.5870018,,,,,,,,,67.33187103,66.36991119,,,,72.04785156,,73.86559296,72.44249725,,,,71.16825104,,,,73.08999634
Euro area,EMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,52.51395035,,,,,,64.6629715,,,,,,,,,,76.57051849,,,
Spain,ESP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,96.49497223,,,,,,,,,,,,,97.16512299,97.75068665,97.75213623,97.93884277,97.6306076,97.67926788,97.74890137,97.78375244,97.89453888,98.07913208,98.09371948,98.14325714,98.25051117,,98.43650055,,98.59445953,
Estonia,EST,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,99.76719666,,,,,,,,,,,99.88578796,,,,,,,,,,99.87000275
